arm,subset,family,n,executed,metric,estimate,numerator,denominator,ci95_low,ci95_high
A,single_fault,I1,24,24,IAR,1.0,24,24,1.0,1.0
A,single_fault,I1,24,24,IDR,0.0,0,24,0.0,0.0
A,single_fault,I1,24,24,IDR_indet,,0,0,,
A,single_fault,I1,24,24,coverage,1.0,24,24,1.0,1.0
A,single_fault,I1,24,24,abstention,0.0,0,24,0.0,0.0
A,single_fault,I1,24,24,decision_coverage,1.0,24,24,1.0,1.0
A,single_fault,I1,24,24,accuracy,0.0,0,24,0.0,0.0
A,single_fault,I10,24,24,VAR,,0,0,,
A,single_fault,I10,24,24,VRR,,0,0,,
A,single_fault,I10,24,24,VIR,,0,0,,
A,single_fault,I10,24,24,IAR,1.0,24,24,1.0,1.0
A,single_fault,I10,24,24,IDR,0.0,0,24,0.0,0.0
A,single_fault,I10,24,24,IDR_indet,,0,0,,
A,single_fault,I10,24,24,coverage,1.0,24,24,1.0,1.0
A,single_fault,I10,24,24,abstention,0.0,0,24,0.0,0.0
A,single_fault,I10,24,24,decision_coverage,1.0,24,24,1.0,1.0
A,single_fault,I10,24,24,accuracy,0.0,0,24,0.0,0.0
A,single_fault,I2,48,48,VAR,,0,0,,
A,single_fault,I2,48,48,VRR,,0,0,,
A,single_fault,I2,48,48,VIR,,0,0,,
A,single_fault,I2,48,48,IAR,1.0,48,48,1.0,1.0
A,single_fault,I2,48,48,IDR,0.0,0,48,0.0,0.0
A,single_fault,I2,48,48,IDR_indet,,0,0,,
A,single_fault,I2,48,48,coverage,1.0,48,48,1.0,1.0
A,single_fault,I2,48,48,abstention,0.0,0,48,0.0,0.0
A,single_fault,I2,48,48,decision_coverage,1.0,48,48,1.0,1.0
A,single_fault,I2,48,48,accuracy,0.0,0,48,0.0,0.0
A,single_fault,I3,24,24,VAR,,0,0,,
A,single_fault,I3,24,24,VRR,,0,0,,
A,single_fault,I3,24,24,VIR,,0,0,,
A,single_fault,I3,24,24,IAR,0.0,0,24,0.0,0.0
A,single_fault,I3,24,24,IDR,1.0,24,24,1.0,1.0
A,single_fault,I3,24,24,IDR_indet,,0,0,,
A,single_fault,I3,24,24,coverage,1.0,24,24,1.0,1.0
A,single_fault,I3,24,24,abstention,0.0,0,24,0.0,0.0
A,single_fault,I3,24,24,decision_coverage,1.0,24,24,1.0,1.0
A,single_fault,I3,24,24,accuracy,1.0,24,24,1.0,1.0
A,single_fault,I4,24,24,VAR,,0,0,,
A,single_fault,I4,24,24,VRR,,0,0,,
A,single_fault,I4,24,24,VIR,,0,0,,
A,single_fault,I4,24,24,IAR,1.0,24,24,1.0,1.0
A,single_fault,I4,24,24,IDR,0.0,0,24,0.0,0.0
A,single_fault,I4,24,24,IDR_indet,,0,0,,
A,single_fault,I4,24,24,coverage,1.0,24,24,1.0,1.0
A,single_fault,I4,24,24,abstention,0.0,0,24,0.0,0.0
A,single_fault,I4,24,24,decision_coverage,1.0,24,24,1.0,1.0
